time,src_mac,ip_saddr,dest_mac,ip_daddr,len
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,524
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,90
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,66
2024/4/21 19:56,6C:26:36:6E:33:AB,0.0.0.0,50:28:4A:E6:1D:AB,0.0.0.0,181
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,66
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,338
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,338
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,2146
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,1494
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,1354
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,54
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,1494
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,1354
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,118
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,152
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,2196
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,118
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,168
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,2148
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,1034
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,212
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,340
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,156
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,606
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,93
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,396
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,123
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,54
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,363
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,93
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,727
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,85
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,153
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,92
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,6403
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,92
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,340
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,156
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,54
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,379
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,54
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,1514
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,979
2024/4/21 19:56,6C:26:36:6E:33:AB,202.89.233.96,50:28:4A:E6:1D:AB,10.125.232.33,92
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,202.89.233.96,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,139
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,962
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,93
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,99
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,100
2024/4/21 19:56,6C:26:36:6E:33:AB,0.0.0.0,50:28:4A:E6:1D:AB,0.0.0.0,319
2024/4/21 19:56,6C:26:36:6E:33:AB,0.0.0.0,50:28:4A:E6:1D:AB,0.0.0.0,322
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.110,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.111,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,173
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,100
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.110,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.111,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.110,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.111,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.111,2134
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.110,2135
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,54
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.110,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.110,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.111,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.111,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.111,50:28:4A:E6:1D:AB,10.125.232.33,314
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.111,134
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.110,50:28:4A:E6:1D:AB,10.125.232.33,314
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.110,134
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,100
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,212
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,92
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,96
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.111,50:28:4A:E6:1D:AB,10.125.232.33,365
2024/4/21 19:56,6C:26:36:6E:33:AB,36.248.215.110,50:28:4A:E6:1D:AB,10.125.232.33,365
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.110,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,36.248.215.111,54
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,7635
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,13.107.21.239,55
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,704
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,89
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,85
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,6C:26:36:6E:33:AB,13.107.21.239,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,222.138.4.69,54
2024/4/21 19:56,6C:26:36:6E:33:AB,222.138.4.69,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,153
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,89
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,86
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,139
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,936
2024/4/21 19:56,6C:26:36:6E:33:AB,12.82.26.236,50:28:4A:E6:1D:AB,0.0.0.255,86
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,55
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,28:DE:65:C7:3F:73,172.31.252.51,50:28:4A:E6:1D:AB,224.0.0.251,1437
2024/4/21 19:56,28:DE:65:C7:3F:73,172.31.252.51,50:28:4A:E6:1D:AB,224.0.0.251,1030
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,FF:FF:FF:FF:FF:FF,10.125.255.255,360
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,01:00:5E:00:00:FB,224.0.0.251,360
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,153
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,138
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,876
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,55
2024/4/21 19:56,6C:26:36:6E:33:AB,120.241.43.151,50:28:4A:E6:1D:AB,10.125.232.33,66
2024/4/21 19:56,50:28:4A:E6:1D:AB,36.129.32.58,6C:26:36:6E:33:AB,112.81.121.169,74
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,157.148.57.99,506
2024/4/21 19:56,6C:26:36:6E:33:AB,157.148.57.99,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,157.148.57.99,50:28:4A:E6:1D:AB,10.125.232.33,190
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,157.148.57.99,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,173
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,212
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,92
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,54
2024/4/21 19:56,6C:26:36:6E:33:AB,20.189.173.7,50:28:4A:E6:1D:AB,10.125.232.33,153
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.7,54
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,194
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,103
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,96
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,487
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,54
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,102
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,45.254.50.98,96
2024/4/21 19:56,6C:26:36:6E:33:AB,45.254.50.98,50:28:4A:E6:1D:AB,10.125.232.33,60
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.17,6819
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.17,7103
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.205.115.81,6910
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.205.115.81,100
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,456
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,120.241.43.151,115
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.17,6787
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.17,12291
2024/4/21 19:56,50:28:4A:E6:1D:AB,10.125.232.33,6C:26:36:6E:33:AB,20.189.173.17,6786
